sample,time,code,chan,trialIdx
22413,21.8876953125,15,-1,0
23435,22.8857421875,1,-1,0
24064,23.5,350,1,0
24143,23.5771484375,351,1,0
24167,23.6005859375,350,1,0
24229,23.6611328125,351,1,0
24946,24.361328125,350,1,0
24980,24.39453125,351,1,0
30605,29.8876953125,115,-1,0
31501,30.7626953125,350,1,0
31515,30.7763671875,351,1,0
31598,30.857421875,350,1,0
31742,30.998046875,103,-1,0
31770,31.025390625,351,1,0
40091,39.1513671875,12,-1,1
41115,40.1513671875,1,-1,1
48286,47.154296875,112,-1,1
49078,47.927734375,350,0,1
49162,48.009765625,351,0,1
49175,48.0224609375,350,0,1
49322,48.166015625,101,-1,1
49341,48.1845703125,351,0,1
57649,56.2978515625,12,-1,2
58672,57.296875,1,-1,2
65843,64.2998046875,112,-1,2
66713,65.1494140625,350,0,2
66872,65.3046875,101,-1,2
66894,65.326171875,351,0,2
75231,73.4677734375,12,-1,3
76255,74.4677734375,1,-1,3
80435,78.5498046875,350,1,3
80459,78.5732421875,351,1,3
83425,81.4697265625,112,-1,3
84241,82.2666015625,350,0,3
84368,82.390625,101,-1,3
84396,82.41796875,351,0,3
92709,90.5361328125,15,-1,4
93730,91.533203125,1,-1,4
100901,98.5361328125,115,-1,4
101352,98.9765625,350,1,4
101400,99.0234375,351,1,4
101447,99.0693359375,350,1,4
101718,99.333984375,103,-1,4
101757,99.3720703125,351,1,4
110064,107.484375,15,-1,5
111087,108.4833984375,1,-1,5
114478,111.794921875,350,0,5
114495,111.8115234375,351,0,5
118257,115.4853515625,115,-1,5
118868,116.08203125,350,1,5
119089,116.2978515625,103,-1,5
119146,116.353515625,351,1,5
127441,124.4541015625,15,-1,6
128465,125.4541015625,1,-1,6
135635,132.4560546875,115,-1,6
136022,132.833984375,350,1,6
136062,132.873046875,351,1,6
136134,132.943359375,350,1,6
136360,133.1640625,103,-1,6
136363,133.1669921875,351,1,6
144700,141.30859375,15,-1,7
145724,142.30859375,1,-1,7
146205,142.7783203125,350,1,7
146245,142.8173828125,351,1,7
152894,149.310546875,115,-1,7
153276,149.68359375,350,1,7
153550,149.951171875,103,-1,7
153566,149.966796875,351,1,7
161895,158.1005859375,12,-1,8
162919,159.1005859375,1,-1,8
169760,165.78125,350,1,8
169794,165.814453125,351,1,8
170089,166.1025390625,112,-1,8
170544,166.546875,350,0,8
170822,166.818359375,101,-1,8
170837,166.8330078125,351,0,8
179166,174.966796875,15,-1,9
179201,175.0009765625,350,1,9
179226,175.025390625,351,1,9
180190,175.966796875,1,-1,9
187359,182.9677734375,115,-1,9
187655,183.2568359375,350,1,9
187705,183.3056640625,351,1,9
188087,183.6787109375,350,1,9
188133,183.7236328125,351,1,9
188147,183.7373046875,350,1,9
188328,183.9140625,103,-1,9
188374,183.958984375,351,1,9
196659,192.0498046875,12,-1,10
197683,193.0498046875,1,-1,10
204854,200.052734375,112,-1,10
205296,200.484375,350,0,10
205565,200.7470703125,101,-1,10
205591,200.7724609375,351,0,10
213905,208.8916015625,12,-1,11
214928,209.890625,1,-1,11
217976,212.8671875,350,1,11
217991,212.8818359375,351,1,11
218046,212.935546875,350,1,11
218060,212.94921875,351,1,11
218603,213.4794921875,350,1,11
218618,213.494140625,351,1,11
222098,216.892578125,112,-1,11
222728,217.5078125,350,0,11
222744,217.5234375,351,0,11
222775,217.5537109375,350,0,11
223078,217.849609375,101,-1,11
223116,217.88671875,351,0,11
231419,225.9951171875,12,-1,12
232442,226.994140625,1,-1,12
239163,233.5576171875,350,0,12
239195,233.5888671875,351,0,12
239303,233.6943359375,350,0,12
239336,233.7265625,351,0,12
239612,233.99609375,112,-1,12
239804,234.18359375,350,0,12
239836,234.21484375,351,0,12
239884,234.26171875,350,0,12
239900,234.27734375,351,0,12
239933,234.3095703125,350,0,12
239979,234.3544921875,351,0,12
239998,234.373046875,350,0,12
240084,234.45703125,351,0,12
240111,234.4833984375,350,0,12
240128,234.5,351,0,12
240142,234.513671875,350,0,12
240165,234.5361328125,351,0,12
240204,234.57421875,350,0,12
240482,234.845703125,351,0,12
240498,234.861328125,101,-1,12
248848,243.015625,12,-1,13
249872,244.015625,1,-1,13
256711,250.6943359375,350,0,13
256771,250.7529296875,351,0,13
256908,250.88671875,350,0,13
256931,250.9091796875,351,0,13
257009,250.9853515625,350,0,13
257040,251.015625,112,-1,13
257118,251.091796875,351,0,13
257142,251.115234375,350,0,13
257155,251.1279296875,351,0,13
257172,251.14453125,350,0,13
257278,251.248046875,351,0,13
257322,251.291015625,350,0,13
257368,251.3359375,351,0,13
257411,251.3779296875,350,0,13
257451,251.4169921875,351,0,13
257505,251.4697265625,350,0,13
257757,251.7158203125,101,-1,13
257793,251.7509765625,351,0,13
266094,259.857421875,12,-1,14
267118,260.857421875,1,-1,14
274288,267.859375,112,-1,14
274651,268.2138671875,350,0,14
274688,268.25,351,0,14
274748,268.30859375,350,0,14
274964,268.51953125,101,-1,14
274978,268.533203125,351,0,14
283312,276.671875,12,-1,15
284334,277.669921875,1,-1,15
291134,284.310546875,350,0,15
291169,284.3447265625,351,0,15
291465,284.6337890625,350,0,15
291487,284.6552734375,351,0,15
291504,284.671875,112,-1,15
291892,285.05078125,350,0,15
291969,285.1259765625,351,0,15
291990,285.146484375,350,0,15
292215,285.3662109375,101,-1,15
292245,285.3955078125,351,0,15
300551,293.5068359375,12,-1,16
301573,294.5048828125,1,-1,16
308742,301.505859375,112,-1,16
310400,303.125,350,0,16
310456,303.1796875,351,0,16
310588,303.30859375,350,0,16
310647,303.3662109375,351,0,16
310717,303.4345703125,350,0,16
310763,303.4794921875,351,0,16
310784,303.5,350,0,16
310966,303.677734375,101,-1,16
310985,303.6962890625,351,0,16
319318,311.833984375,12,-1,17
320342,312.833984375,1,-1,17
327513,319.8369140625,112,-1,17
328065,320.3759765625,350,0,17
328378,320.681640625,101,-1,17
328386,320.689453125,351,0,17
336727,328.8349609375,15,-1,18
337751,329.8349609375,1,-1,18
340270,332.294921875,350,0,18
340319,332.3427734375,351,0,18
340329,332.3525390625,350,1,18
