sample,time,code,chan,trialIdx,trialRawTmin.sample,trialRawTmin.time,trialRawT0.sample,trialRawT0.time,trialRawTmax.sample,trialRawTmax.time
308,0.0,15,-1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
1330,0.998046875,1,-1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
1959,1.6123046875,350,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
2038,1.689453125,351,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
2062,1.712890625,350,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
2124,1.7734375,351,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
2841,2.4736328125,350,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
2875,2.5068359375,351,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
8500,8.0,115,-1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
9396,8.875,350,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
9410,8.888671875,351,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
9493,8.9697265625,350,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
9637,9.1103515625,103,-1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
9665,9.1376953125,351,1,0,22105,21.5869140625,22413,21.8876953125,35725,34.8876953125
308,0.0,12,-1,1,39783,38.8505859375,40091,39.1513671875,53403,52.1513671875
1332,1.0,1,-1,1,39783,38.8505859375,40091,39.1513671875,53403,52.1513671875
8503,8.0029296875,112,-1,1,39783,38.8505859375,40091,39.1513671875,53403,52.1513671875
9295,8.7763671875,350,0,1,39783,38.8505859375,40091,39.1513671875,53403,52.1513671875
9379,8.8583984375,351,0,1,39783,38.8505859375,40091,39.1513671875,53403,52.1513671875
9392,8.87109375,350,0,1,39783,38.8505859375,40091,39.1513671875,53403,52.1513671875
9539,9.0146484375,101,-1,1,39783,38.8505859375,40091,39.1513671875,53403,52.1513671875
9558,9.033203125,351,0,1,39783,38.8505859375,40091,39.1513671875,53403,52.1513671875
308,0.0,12,-1,2,57341,55.9970703125,57649,56.2978515625,70961,69.2978515625
1331,0.9990234375,1,-1,2,57341,55.9970703125,57649,56.2978515625,70961,69.2978515625
8502,8.001953125,112,-1,2,57341,55.9970703125,57649,56.2978515625,70961,69.2978515625
9372,8.8515625,350,0,2,57341,55.9970703125,57649,56.2978515625,70961,69.2978515625
9531,9.0068359375,101,-1,2,57341,55.9970703125,57649,56.2978515625,70961,69.2978515625
9553,9.0283203125,351,0,2,57341,55.9970703125,57649,56.2978515625,70961,69.2978515625
308,0.0,12,-1,3,74923,73.1669921875,75231,73.4677734375,88543,86.4677734375
1332,1.0,1,-1,3,74923,73.1669921875,75231,73.4677734375,88543,86.4677734375
5512,5.08203125,350,1,3,74923,73.1669921875,75231,73.4677734375,88543,86.4677734375
5536,5.10546875,351,1,3,74923,73.1669921875,75231,73.4677734375,88543,86.4677734375
8502,8.001953125,112,-1,3,74923,73.1669921875,75231,73.4677734375,88543,86.4677734375
9318,8.798828125,350,0,3,74923,73.1669921875,75231,73.4677734375,88543,86.4677734375
9445,8.9228515625,101,-1,3,74923,73.1669921875,75231,73.4677734375,88543,86.4677734375
9473,8.9501953125,351,0,3,74923,73.1669921875,75231,73.4677734375,88543,86.4677734375
308,0.0,15,-1,4,92401,90.2353515625,92709,90.5361328125,106021,103.5361328125
1329,0.9970703125,1,-1,4,92401,90.2353515625,92709,90.5361328125,106021,103.5361328125
8500,8.0,115,-1,4,92401,90.2353515625,92709,90.5361328125,106021,103.5361328125
8951,8.4404296875,350,1,4,92401,90.2353515625,92709,90.5361328125,106021,103.5361328125
8999,8.4873046875,351,1,4,92401,90.2353515625,92709,90.5361328125,106021,103.5361328125
9046,8.533203125,350,1,4,92401,90.2353515625,92709,90.5361328125,106021,103.5361328125
9317,8.7978515625,103,-1,4,92401,90.2353515625,92709,90.5361328125,106021,103.5361328125
9356,8.8359375,351,1,4,92401,90.2353515625,92709,90.5361328125,106021,103.5361328125
308,0.0,15,-1,5,109756,107.18359375,110064,107.484375,123376,120.484375
1331,0.9990234375,1,-1,5,109756,107.18359375,110064,107.484375,123376,120.484375
4722,4.310546875,350,0,5,109756,107.18359375,110064,107.484375,123376,120.484375
4739,4.3271484375,351,0,5,109756,107.18359375,110064,107.484375,123376,120.484375
8501,8.0009765625,115,-1,5,109756,107.18359375,110064,107.484375,123376,120.484375
9112,8.59765625,350,1,5,109756,107.18359375,110064,107.484375,123376,120.484375
9333,8.8134765625,103,-1,5,109756,107.18359375,110064,107.484375,123376,120.484375
9390,8.869140625,351,1,5,109756,107.18359375,110064,107.484375,123376,120.484375
308,0.0,15,-1,6,127133,124.1533203125,127441,124.4541015625,140753,137.4541015625
1332,1.0,1,-1,6,127133,124.1533203125,127441,124.4541015625,140753,137.4541015625
8502,8.001953125,115,-1,6,127133,124.1533203125,127441,124.4541015625,140753,137.4541015625
8889,8.3798828125,350,1,6,127133,124.1533203125,127441,124.4541015625,140753,137.4541015625
8929,8.4189453125,351,1,6,127133,124.1533203125,127441,124.4541015625,140753,137.4541015625
9001,8.4892578125,350,1,6,127133,124.1533203125,127441,124.4541015625,140753,137.4541015625
9227,8.7099609375,103,-1,6,127133,124.1533203125,127441,124.4541015625,140753,137.4541015625
9230,8.712890625,351,1,6,127133,124.1533203125,127441,124.4541015625,140753,137.4541015625
308,0.0,15,-1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
1332,1.0,1,-1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
1813,1.4697265625,350,1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
1853,1.5087890625,351,1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
8502,8.001953125,115,-1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
8884,8.375,350,1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
9158,8.642578125,103,-1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
9174,8.658203125,351,1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
308,0.0,12,-1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
1332,1.0,1,-1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
8173,7.6806640625,350,1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
